MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,65.0,8450,Sin_Acceso,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,Ex,Y,SBrkr,854,1710,1,0,2,1,3,Gd,Typ,0,Sin_Chimenea,Attchd,RFn,2,TA,TA,Y,0,61,0,0,Sin_Cerca,2,2008,WD,Normal,208500
20,RL,80.0,9600,Sin_Acceso,Reg,Lvl,FR2,Gtl,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,Ex,Y,SBrkr,0,1262,0,1,2,0,3,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,298,0,0,0,Sin_Cerca,5,2007,WD,Normal,181500
60,RL,68.0,11250,Sin_Acceso,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,Ex,Y,SBrkr,866,1786,1,0,2,1,3,Gd,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0,42,0,0,Sin_Cerca,9,2008,WD,Normal,223500
70,RL,60.0,9550,Sin_Acceso,IR1,Lvl,Corner,Gtl,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,Gd,Y,SBrkr,756,1717,1,0,1,0,3,Gd,Typ,1,Gd,Detchd,Unf,3,TA,TA,Y,0,35,272,0,Sin_Cerca,2,2006,WD,Abnorml,140000
60,RL,84.0,14260,Sin_Acceso,IR1,Lvl,FR2,Gtl,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,Ex,Y,SBrkr,1053,2198,1,0,2,1,4,Gd,Typ,1,TA,Attchd,RFn,3,TA,TA,Y,192,84,0,0,Sin_Cerca,12,2008,WD,Normal,250000
50,RL,85.0,14115,Sin_Acceso,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,Ex,Y,SBrkr,566,1362,1,0,1,1,1,TA,Typ,0,Sin_Chimenea,Attchd,Unf,2,TA,TA,Y,40,30,0,0,MnPrv,10,2009,WD,Normal,143000
20,RL,75.0,10084,Sin_Acceso,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,Ex,Y,SBrkr,0,1694,1,0,2,0,3,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,255,57,0,0,Sin_Cerca,8,2007,WD,Normal,307000
60,RL,80.0,10382,Sin_Acceso,IR1,Lvl,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,Ex,Y,SBrkr,983,2090,1,0,2,1,3,TA,Typ,2,TA,Attchd,RFn,2,TA,TA,Y,235,204,228,0,Sin_Cerca,11,2009,WD,Normal,200000
50,RM,51.0,6120,Sin_Acceso,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,Gd,Y,FuseF,752,1774,0,0,2,0,2,TA,Min1,2,TA,Detchd,Unf,2,Fa,TA,Y,90,0,205,0,Sin_Cerca,4,2008,WD,Abnorml,129900
190,RL,50.0,7420,Sin_Acceso,Reg,Lvl,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,Ex,Y,SBrkr,0,1077,1,0,1,0,2,TA,Typ,2,TA,Attchd,RFn,1,Gd,TA,Y,0,4,0,0,Sin_Cerca,1,2008,WD,Normal,118000
20,RL,70.0,11200,Sin_Acceso,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,Ex,Y,SBrkr,0,1040,1,0,1,0,3,TA,Typ,0,Sin_Chimenea,Detchd,Unf,1,TA,TA,Y,0,0,0,0,Sin_Cerca,2,2008,WD,Normal,129500
60,RL,85.0,11924,Sin_Acceso,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,Ex,Y,SBrkr,1142,2324,1,0,3,0,4,Ex,Typ,2,Gd,BuiltIn,Fin,3,TA,TA,Y,147,21,0,0,Sin_Cerca,7,2006,New,Partial,345000
20,RL,71.0,12968,Sin_Acceso,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,TA,Y,SBrkr,0,912,1,0,1,0,2,TA,Typ,0,Sin_Chimenea,Detchd,Unf,1,TA,TA,Y,140,0,0,176,Sin_Cerca,9,2008,WD,Normal,144000
20,RL,91.0,10652,Sin_Acceso,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Ex,Y,SBrkr,0,1494,0,0,2,0,3,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,160,33,0,0,Sin_Cerca,8,2007,New,Partial,279500
20,RL,73.0,10920,Sin_Acceso,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,TA,Y,SBrkr,0,1253,1,0,1,1,2,TA,Typ,1,Fa,Attchd,RFn,1,TA,TA,Y,0,213,176,0,GdWo,5,2008,WD,Normal,157000
